标题：资金股票
营业部名称：上海7
股东：素养鸣石量
资金余额：8624919.14 	 可取金额：8624413.46
冻结金额：505.68 	 股票市值：186079691.78
可用余额：8624413.46 	 总 资 产：194704610.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	汇率	成本价港币	买入成本价港币	买入在途数量	卖出在途数量	
002324	普利特	2000	2000	0	3429.820	10.235	16.756	11.950	23900.000	深圳Ａ股	0899216774	1.000000	10.235	12.142	0	0	
002327	富安娜	1000	1000	0	181.650	7.468	2.437	7.650	7650.000	深圳Ａ股	0899216774	1.000000	7.468	7.601	0	0	
002328	新朋股份	2600	2600	0	4295.160	4.188	39.446	5.840	15184.000	深圳Ａ股	0899216774	1.000000	4.188	6.031	0	0	
002331	皖通科技	600	600	0	244.630	10.972	3.719	11.380	6828.000	深圳Ａ股	0899216774	1.000000	10.972	11.212	0	0	
002332	仙琚制药	7200	7200	0	5774.110	15.658	5.122	16.460	118512.000	深圳Ａ股	0899216774	1.000000	15.658	16.140	0	0	
002334	英威腾	1200	1200	0	-72.800	4.431	-1.377	4.370	5244.000	深圳Ａ股	0899216774	1.000000	4.431	4.431	0	0	
002335	科华恒盛	200	200	0	-70.630	20.463	-1.725	20.110	4022.000	深圳Ａ股	0899216774	1.000000	20.463	20.763	0	0	
002338	奥普光电	300	300	0	4223.610	11.531	122.097	25.610	7683.000	深圳Ａ股	0899216774	1.000000	11.531	23.359	0	0	
002343	慈文传媒	1600	1600	0	982.050	8.116	7.565	8.730	13968.000	深圳Ａ股	0899216774	1.000000	8.116	8.116	0	0	
002351	漫步者	18600	18600	0	889.810	20.142	0.238	20.190	375534.000	深圳Ａ股	0899216774	1.000000	20.142	20.142	0	0	
002352	顺丰控股	2000	2000	0	7580.810	47.660	7.952	51.450	102900.000	深圳Ａ股	0899216774	1.000000	47.660	51.508	0	0	
002353	杰瑞股份	3200	3200	0	47862.530	15.583	95.983	30.540	97728.000	深圳Ａ股	0899216774	1.000000	15.583	30.730	0	0	
002362	汉王科技	300	300	0	-34.760	16.826	-0.689	16.710	5013.000	深圳Ａ股	0899216774	1.000000	16.826	16.826	0	0	
002367	康力电梯	9900	9900	0	813.100	8.948	0.916	9.030	89397.000	深圳Ａ股	0899216774	1.000000	8.948	9.245	0	0	
002368	太极股份	10000	10000	0	-7396.910	41.040	-1.803	40.300	403000.000	深圳Ａ股	0899216774	1.000000	41.040	44.700	0	0	
002371	北方华创	1000	1000	0	404.160	154.636	0.261	155.040	155040.000	深圳Ａ股	0899216774	1.000000	154.636	155.107	0	0	
002372	伟星新材	600	600	0	-209.550	12.589	-2.772	12.240	7344.000	深圳Ａ股	0899216774	1.000000	12.589	12.242	0	0	
002373	千方科技	800	800	0	-547.800	23.315	-2.938	22.630	18104.000	深圳Ａ股	0899216774	1.000000	23.315	23.315	0	0	
002375	亚厦股份	2600	2600	0	-603.200	9.222	-2.516	8.990	23374.000	深圳Ａ股	0899216774	1.000000	9.222	9.031	0	0	
002376	新北洋	700	700	0	-141.090	10.352	-1.951	10.150	7105.000	深圳Ａ股	0899216774	1.000000	10.352	10.352	0	0	
002378	章源钨业	2000	2000	0	-281.350	4.491	-3.140	4.350	8700.000	深圳Ａ股	0899216774	1.000000	4.491	4.491	0	0	
002381	双箭股份	800	800	0	749.900	9.023	10.385	9.960	7968.000	深圳Ａ股	0899216774	1.000000	9.023	9.706	0	0	
002382	蓝帆医疗	38854	38854	0	28698.000	23.611	3.130	24.350	946094.900	深圳Ａ股	0899216774	1.000000	23.611	24.010	0	0	
002383	合众思壮	900	900	0	220.660	9.865	2.484	10.110	9099.000	深圳Ａ股	0899216774	1.000000	9.865	9.865	0	0	
002384	东山精密	7100	7100	0	18770.720	26.606	9.938	29.250	207675.000	深圳Ａ股	0899216774	1.000000	26.606	29.219	0	0	
002387	维信诺	700	700	0	889.690	12.829	9.907	14.100	9870.000	深圳Ａ股	0899216774	1.000000	12.829	13.526	0	0	
002388	新亚制程	1600	1600	0	323.370	7.218	2.799	7.420	11872.000	深圳Ａ股	0899216774	1.000000	7.218	7.565	0	0	
002389	航天彩虹	1800	1800	0	-234.440	13.050	-0.996	12.920	23256.000	深圳Ａ股	0899216774	1.000000	13.050	12.771	0	0	
002390	信邦制药	700	700	0	5.520	4.502	0.178	4.510	3157.000	深圳Ａ股	0899216774	1.000000	4.502	4.502	0	0	
