标题：资金股票
营业部名称：中航信交易7-1
股东：鸣石傲华７

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
260600086508	人民币	3450649.760	3015462.810	34053183.420	37068647.230	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
603303	得邦照明	1600	1600	0	0	4579.76	35.174	17600.00	8.138	11.000	B882678523	沪Ａ	1600	1600	
603306	华懋科技	3000	3000	0	0	391.47	0.818	48270.00	15.960	16.090	B882678523	沪Ａ	3000	3000	
603313	梦百合	1600	1600	0	0	3332.19	8.416	42928.00	24.747	26.830	B882678523	沪Ａ	1600	1600	
603320	迪贝电气	7700	7700	0	0	1720.17	1.706	102564.00	13.097	13.320	B882678523	沪Ａ	7700	7700	
603331	百达精工	3220	3220	0	0	-861.61	-2.234	37706.20	11.978	11.710	B882678523	沪Ａ	3220	3220	
603335	迪生力	74000	74000	0	0	-9114.14	-2.354	378140.00	5.233	5.110	B882678523	沪Ａ	74000	74000	
603365	水星家纺	3300	3300	0	0	-879.29	-1.567	55242.00	17.006	16.740	B882678523	沪Ａ	3300	3300	
603388	元成股份	31843	31843	0	0	5131.68	2.196	238822.50	7.339	7.500	B882678523	沪Ａ	31843	31843	
603585	苏利股份	6800	6800	0	0	977.33	0.775	127092.00	18.546	18.690	B882678523	沪Ａ	6800	6800	
603586	金麒麟	3800	3800	0	0	4610.85	7.143	69160.00	16.987	18.200	B882678523	沪Ａ	3800	3800	
603615	茶花股份	4800	4800	0	0	1431.82	3.424	43248.00	8.712	9.010	B882678523	沪Ａ	4800	4800	
603667	五洲新春	13700	13700	0	0	577.90	0.507	114532.00	8.318	8.360	B882678523	沪Ａ	13700	13700	
603689	XD皖天然	31400	31400	0	0	4513.97	1.366	335038.00	10.526	10.670	B882678523	沪Ａ	31400	31400	
000589	贵州轮胎	119400	119400	0	0	27358.54	4.619	619686.00	4.961	5.190	0899193145	深Ａ	119400	119400	
603717	天域生态	2000	2000	0	0	740.01	4.358	17720.00	8.490	8.860	B882678523	沪Ａ	2000	2000	
603722	阿科力	300	300	0	0	-33569.72	-72.757	12570.00	153.799	41.900	B882678523	沪Ａ	300	300	
603728	鸣志电器	8900	8900	0	0	8101.83	6.845	126469.00	13.300	14.210	B882678523	沪Ａ	8900	8900	
603766	隆鑫通用	42500	42500	0	0	7401.04	4.200	183600.00	4.146	4.320	B882678523	沪Ａ	42500	42500	
603800	道森股份	400	400	0	0	3132.73	177.264	4900.00	4.418	12.250	B882678523	沪Ａ	400	400	
603818	曲美家居	15400	15400	0	0	19902.59	14.412	158004.00	8.968	10.260	B882678523	沪Ａ	15400	15400	
000099	中信海直	42200	42200	0	0	22834.75	7.149	342242.00	7.569	8.110	0899193145	深Ａ	42200	42200	
603926	铁流股份	10900	10900	0	0	3499.76	2.721	132108.00	11.799	12.120	B882678523	沪Ａ	10900	10900	
300430	诚益通	26900	26900	0	0	7925.25	3.833	214662.00	7.685	7.980	0899193145	深Ａ	26900	26900	
603980	吉华集团	1220	1220	0	0	107.70	1.229	8869.40	7.182	7.270	B882678523	沪Ａ	1220	1220	

------------------------------
保存时间：2020-07-23  15:47:28 
