标题：资金股票
营业部名称：华泰证券(135)
股东：鸣石量化五号
资金余额：1417038.80 	 可取金额：938080.68
冻结金额：0.00 	 股票市值：19522817.00
可用余额：938080.68 	 总 资 产：20464031.67

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
601999	出版传媒	800	0	800	7.070	7.083	7.600	7.30	412.798	6080.000	上海Ａ	B881977495	0	
603000	XD人民网	2300	2300	0	15.997	16.016	19.550	22.07	8121.036	44965.000	上海Ａ	B881977495	0	
603025	大豪科技	800	800	0	7.932	7.946	7.800	-1.84	-116.965	6240.000	上海Ａ	B881977495	0	
603056	德邦股份	1200	1200	0	13.145	13.163	12.400	-5.79	-914.178	14880.000	上海Ａ	B881977495	0	
603198	迎驾贡酒	1100	1100	0	24.459	24.489	21.070	-13.96	-3756.541	23177.000	上海Ａ	B881977495	0	
603225	新凤鸣	728	628	0	10.559	10.577	10.410	-1.58	-121.202	7578.480	上海Ａ	B881977495	100	
603233	大参林	700	0	0	65.493	65.567	72.750	10.96	5022.864	50925.000	上海Ａ	B881977495	700	
603317	天味食品	300	300	0	57.495	57.570	56.000	-2.73	-470.636	16800.000	上海Ａ	B881977495	0	
603328	依顿电子	1600	1600	0	11.972	11.987	9.920	-17.25	-3304.389	15872.000	上海Ａ	B881977495	0	
603338	浙江鼎力	600	0	0	81.740	81.832	82.280	0.55	268.645	49368.000	上海Ａ	B881977495	600	
603355	莱克电气	300	300	0	27.100	27.144	25.800	-4.96	-402.895	7740.000	上海Ａ	B881977495	0	
603377	东方时尚	1000	1000	0	17.272	17.295	20.770	20.10	3471.815	20770.000	上海Ａ	B881977495	0	
603379	三美股份	400	400	0	21.317	21.351	21.950	2.81	239.244	8780.000	上海Ａ	B881977495	0	
603486	科沃斯	700	600	0	29.095	29.132	28.100	-3.54	-721.563	19670.000	上海Ａ	B881977495	100	
603556	海兴电力	800	800	0	15.377	15.399	14.580	-5.32	-654.497	11664.000	上海Ａ	B881977495	0	
603568	伟明环保	700	700	0	23.113	23.144	21.880	-5.46	-883.722	15316.000	上海Ａ	B881977495	0	
603605	珀莱雅	200	200	0	161.448	161.638	166.470	2.99	965.440	33294.000	上海Ａ	B881977495	0	
603650	彤程新材	16300	0	0	20.691	20.714	31.190	50.57	170564.295	508397.000	上海Ａ	B881977495	16300	
603660	苏州科达	6700	6700	0	12.762	12.776	9.050	-29.17	-24938.311	60635.000	上海Ａ	B881977495	0	
