-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值          融券利息        已还利息        逾期罚息        已还罚息        展期结转费用        合约参考盈亏        状态说明        合约本金状态        券源标识        
13075         20200629        20201228        601689          拓普集团        200             200             0               0.00                0                   27.300         0.00              0.00            0.00            0.00            0.00            0.00                -1873.37            已偿还          本金已还完          预约券源        
13076         20200629        20201228        603025          大豪科技        100             100             0               0.00                0                   7.190          0.00              0.00            0.00            0.00            0.00            0.00                -105.63             已偿还          本金已还完          预约券源        
13077         20200629        20201228        603515          欧普照明        100             100             0               0.00                0                   26.810         0.00              0.00            0.00            0.00            0.00            0.00                -400.43             已偿还          本金已还完          预约券源        
13078         20200629        20201228        000050          深天马Ａ        600             600             0               0.00                0                   15.150         0.00              0.00            0.00            0.00            0.00            0.00                -879.89             已偿还          本金已还完          预约券源        
13079         20200629        20201228        603806          福斯特          100             100             0               0.00                0                   50.000         0.00              0.00            0.00            0.00            0.00            0.00                -943.20             已偿还          本金已还完          预约券源        
13080         20200629        20201228        601969          海南矿业        200             200             0               0.00                0                   4.890          0.00              0.00            0.00            0.00            0.00            0.00                -184.40             已偿还          本金已还完          预约券源        
13081         20200629        20201228        600699          均胜电子        400             400             0               0.00                0                   23.300         0.00              0.00            0.00            0.00            0.00            0.00                -803.71             已偿还          本金已还完          预约券源        
13082         20200629        20201228        000090          天健集团        700             700             0               0.00                0                   6.670          0.00              0.00            0.00            0.00            0.00            0.00                -1581.87            已偿还          本金已还完          预约券源        
13083         20200629        20201228        603882          金域医学        100             100             0               0.00                0                   88.780         0.00              0.00            0.00            0.00            0.00            0.00                -745.46             已偿还          本金已还完          预约券源        
13084         20200629        20201228        000156          华数传媒        300             300             0               0.00                0                   10.770         0.00              0.00            0.00            0.00            0.00            0.00                -431.53             已偿还          本金已还完          预约券源        
13085         20200629        20201228        000021          深科技          400             400             0               0.00                0                   23.450         0.00              0.00            0.00            0.00            0.00            0.00                -1151.18            已偿还          本金已还完          预约券源        
13086         20200629        20201228        000519          中兵红箭        400             400             0               0.00                0                   9.340          0.00              0.00            0.00            0.00            0.00            0.00                -595.94             已偿还          本金已还完          预约券源        
13087         20200629        20201228        000089          深圳机场        600             600             0               0.00                0                   7.580          0.00              0.00            0.00            0.00            0.00            0.00                -1358.35            已偿还          本金已还完          预约券源        
13089         20200629        20201228        000528          柳 工           600             600             0               0.00                0                   6.320          0.00              0.00            0.00            0.00            0.00            0.00                -665.19             已偿还          本金已还完          预约券源        
13090         20200629        20201228        000738          航发控制        300             300             0               0.00                0                   13.890         0.00              0.00            0.00            0.00            0.00            0.00                -895.37             已偿还          本金已还完          预约券源        
13091         20200629        20201228        000629          攀钢钒钛        2300            2300            0               0.00                0                   2.010          0.00              0.00            0.00            0.00            0.00            0.00                -623.72             已偿还          本金已还完          预约券源        
13093         20200629        20201228        000887          中鼎股份        400             400             0               0.00                0                   7.820          0.00              0.00            0.00            0.00            0.00            0.00                -544.53             已偿还          本金已还完          预约券源        
13094         20200629        20201228        000598          兴蓉环境        1000            1000            0               0.00                0                   4.530          0.00              0.00            0.00            0.00            0.00            0.00                -540.53             已偿还          本金已还完          预约券源        
13095         20200629        20201228        000883          湖北能源        1100            1100            0               0.00                0                   3.500          0.00              0.00            0.00            0.00            0.00            0.00                -597.35             已偿还          本金已还完          预约券源        
13096         20200629        20201228        000937          冀中能源        600             600             0               0.00                0                   3.020          0.00              0.00            0.00            0.00            0.00            0.00                -316.41             已偿还          本金已还完          预约券源        
13097         20200629        20201228        000636          风华高科        400             400             0               0.00                0                   29.380         0.00              0.00            0.00            0.00            0.00            0.00                -350.35             已偿还          本金已还完          预约券源        
13098         20200629        20201228        000686          东北证券        800             800             0               0.00                0                   8.290          0.00              0.00            0.00            0.00            0.00            0.00                -2462.83            已偿还          本金已还完          预约券源        
13099         20200629        20201228        000960          锡业股份        600             600             0               0.00                0                   8.510          0.00              0.00            0.00            0.00            0.00            0.00                -876.51             已偿还          本金已还完          预约券源        
13100         20200629        20201228        600466          蓝光发展        800             800             0               0.00                0                   5.340          0.00              0.00            0.00            0.00            0.00            0.00                -626.96             已偿还          本金已还完          预约券源        
13101         20200629        20201228        000988          华工科技        400             400             0               0.00                0                   24.330         0.00              0.00            0.00            0.00            0.00            0.00                -259.53             已偿还          本金已还完          预约券源        
13102         20200629        20201228        002004          华邦健康        900             900             0               0.00                0                   5.260          0.00              0.00            0.00            0.00            0.00            0.00                -679.33             已偿还          本金已还完          预约券源        
13103         20200629        20201228        000983          西山煤电        900             900             0               0.00                0                   3.690          0.00              0.00            0.00            0.00            0.00            0.00                -81.22              已偿还          本金已还完          预约券源        
13104         20200629        20201228        002002          鸿达兴业        800             800             0               0.00                0                   3.600          0.00              0.00            0.00            0.00            0.00            0.00                -635.08             已偿还          本金已还完          预约券源        
13105         20200629        20201228        000878          云南铜业        600             600             0               0.00                0                   10.400         0.00              0.00            0.00            0.00            0.00            0.00                -2317.64            已偿还          本金已还完          预约券源        
13106         20200629        20201228        600967          内蒙一机        500             500             0               0.00                0                   10.400         0.00              0.00            0.00            0.00            0.00            0.00                -944.30             已偿还          本金已还完          预约券源        
13107         20200629        20201228        600486          扬农化工        100             100             0               0.00                0                   81.910         0.00              0.00            0.00            0.00            0.00            0.00                -311.55             已偿还          本金已还完          预约券源        
13108         20200629        20201228        002081          金 螳 螂        700             700             0               0.00                0                   7.770          0.00              0.00            0.00            0.00            0.00            0.00                -818.24             已偿还          本金已还完          预约券源        
13109         20200629        20201228        002075          沙钢股份        1000            1000            0               0.00                0                   13.150         0.00              0.00            0.00            0.00            0.00            0.00                894.85              已偿还          本金已还完          预约券源        
13110         20200629        20201228        002010          传化智联        700             700             0               0.00                0                   5.450          0.00              0.00            0.00            0.00            0.00            0.00                -430.93             已偿还          本金已还完          预约券源        
13111         20200629        20201228        002051          中工国际        300             300             0               0.00                0                   7.270          0.00              0.00            0.00            0.00            0.00            0.00                -382.18             已偿还          本金已还完          预约券源        
13113         20200629        20201228        600426          华鲁恒升        600             600             0               0.00                0                   17.830         0.00              0.00            0.00            0.00            0.00            0.00                -1937.71            已偿还          本金已还完          预约券源        
13114         20200629        20201228        002092          中泰化学        900             900             0               0.00                0                   4.520          0.00              0.00            0.00            0.00            0.00            0.00                -1321.26            已偿还          本金已还完          预约券源        
13115         20200629        20201228        002124          天邦股份        400             400             0               0.00                0                   11.730         0.00              0.00            0.00            0.00            0.00            0.00                -2186.49            已偿还          本金已还完          预约券源        
13117         20200629        20201228        002156          通富微电        400             400             0               0.00                0                   24.550         0.00              0.00            0.00            0.00            0.00            0.00                -2294.42            已偿还          本金已还完          预约券源        
13118         20200629        20201228        002185          华天科技        1200            1200            0               0.00                0                   13.460         0.00              0.00            0.00            0.00            0.00            0.00                -6472.35            已偿还          本金已还完          预约券源        
13119         20200629        20201228        002203          海亮股份        500             500             0               0.00                0                   8.740          0.00              0.00            0.00            0.00            0.00            0.00                -225.37             已偿还          本金已还完          预约券源        
13121         20200629        20201228        002110          三钢闽光        700             700             0               0.00                0                   6.690          0.00              0.00            0.00            0.00            0.00            0.00                -550.08             已偿还          本金已还完          预约券源        
13122         20200629        20201228        002317          众生药业        400             400             0               0.00                0                   15.600         0.00              0.00            0.00            0.00            0.00            0.00                -681.64             已偿还          本金已还完          预约券源        
