-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值        融券利息        已还利息        逾期罚息        已还罚息        合约参考盈亏        状态说明        合约本金状态        券源标识        
12548         20200623        20201222        000598          兴蓉环境        800             0               800             0.00                0                   4.580          3720.00         0.00            0.00            0.00            0.00            -64.66              未偿还          本金未归还          预约券源        
12549         20200623        20201222        000630          铜陵有色        3200            0               3200            0.00                0                   1.930          6368.00         0.00            0.00            0.00            0.00            -203.18             未偿还          本金未归还          预约券源        
12550         20200623        20201222        000869          张 裕Ａ         100             0               100             0.00                0                   31.410         3486.00         0.00            0.00            0.00            0.00            -353.14             未偿还          本金未归还          预约券源        
12551         20200623        20201222        000600          建投能源        300             0               300             0.00                0                   5.060          1545.00         0.00            0.00            0.00            0.00            -33.52              未偿还          本金未归还          预约券源        
12552         20200623        20201222        600640          号百控股        100             0               100             0.00                0                   22.510         2035.00         0.00            0.00            0.00            0.00            208.70              未偿还          本金未归还          预约券源        
12554         20200623        20201222        000898          鞍钢股份        1000            0               1000            0.00                0                   2.550          2490.00         0.00            0.00            0.00            0.00            -4.55               未偿还          本金未归还          预约券源        
12555         20200623        20201222        000685          中山公用        400             0               400             0.00                0                   7.760          3112.00         0.00            0.00            0.00            0.00            -16.10              未偿还          本金未归还          预约券源        
12556         20200623        20201222        603712          七一二          100             0               100             0.00                0                   35.500         3675.00         0.00            0.00            0.00            0.00            -133.62             未偿还          本金未归还          预约券源        
12557         20200623        20201222        000712          锦龙股份        200             0               200             0.00                0                   12.550         2520.00         0.00            0.00            0.00            0.00            -17.51              未偿还          本金未归还          预约券源        
12558         20200623        20201222        000750          国海证券        1700            0               1700            0.00                0                   4.380          7514.00         0.00            0.00            0.00            0.00            -80.45              未偿还          本金未归还          预约券源        
12559         20200623        20201222        000960          锡业股份        400             0               400             0.00                0                   8.690          3528.00         0.00            0.00            0.00            0.00            -60.48              未偿还          本金未归还          预约券源        
12560         20200623        20201222        000825          太钢不锈        1000            0               1000            0.00                0                   3.330          3350.00         0.00            0.00            0.00            0.00            -28.33              未偿还          本金未归还          预约券源        
12561         20200623        20201222        000807          云铝股份        700             0               700             0.00                0                   4.430          3164.00         0.00            0.00            0.00            0.00            -71.10              未偿还          本金未归还          预约券源        
12562         20200623        20201222        000826          启迪环境        300             0               300             0.00                0                   7.540          2259.00         0.00            0.00            0.00            0.00            -4.26               未偿还          本金未归还          预约券源        
12563         20200623        20201222        603659          璞泰来          100             0               100             0.00                0                   100.750        10742.00        0.00            0.00            0.00            0.00            -682.28             未偿还          本金未归还          预约券源        
12564         20200623        20201222        000848          承德露露        300             0               300             0.00                0                   7.150          2169.00         0.00            0.00            0.00            0.00            -31.15              未偿还          本金未归还          预约券源        
12565         20200623        20201222        000800          一汽解放        400             0               400             0.00                0                   11.160         4304.00         0.00            0.00            0.00            0.00            150.54              未偿还          本金未归还          预约券源        
12566         20200623        20201222        000932          华菱钢铁        800             0               800             0.00                0                   3.830          3064.00         0.00            0.00            0.00            0.00            -8.06               未偿还          本金未归还          预约券源        
12567         20200623        20201222        000959          首钢股份        700             0               700             0.00                0                   4.370          3122.00         0.00            0.00            0.00            0.00            -71.06              未偿还          本金未归还          预约券源        
12568         20200623        20201222        000967          盈峰环境        400             0               400             0.00                0                   8.190          3244.00         0.00            0.00            0.00            0.00            23.72               未偿还          本金未归还          预约券源        
12569         20200623        20201222        000883          湖北能源        800             0               800             0.00                0                   3.510          2840.00         0.00            0.00            0.00            0.00            -39.81              未偿还          本金未归还          预约券源        
12570         20200623        20201222        002056          横店东磁        400             0               400             0.00                0                   11.790         4552.00         0.00            0.00            0.00            0.00            154.28              未偿还          本金未归还          预约券源        
12571         20200623        20201222        000988          华工科技        300             0               300             0.00                0                   24.010         7455.00         0.00            0.00            0.00            0.00            -264.20             未偿还          本金未归还          预约券源        
12572         20200623        20201222        000937          冀中能源        500             0               500             0.00                0                   3.050          1535.00         0.00            0.00            0.00            0.00            -16.53              未偿还          本金未归还          预约券源        
12573         20200623        20201222        002019          亿帆医药        300             0               300             0.00                0                   23.250         6681.00         0.00            0.00            0.00            0.00            282.02              未偿还          本金未归还          预约券源        
12574         20200623        20201222        002155          湖南黄金        400             0               400             0.00                0                   7.740          3184.00         0.00            0.00            0.00            0.00            -108.10             未偿还          本金未归还          预约券源        
12575         20200623        20201222        002010          传化智联        600             0               600             0.00                0                   5.620          3288.00         0.00            0.00            0.00            0.00            15.63               未偿还          本金未归还          预约券源        
12576         20200623        20201222        002030          达安基因        200             0               200             0.00                0                   27.180         5254.00         0.00            0.00            0.00            0.00            171.56              未偿还          本金未归还          预约券源        
12577         20200623        20201222        002051          中工国际        200             0               200             0.00                0                   7.410          1468.00         0.00            0.00            0.00            0.00            7.52                未偿还          本金未归还          预约券源        
12578         20200623        20201222        002064          华峰氨纶        600             0               600             0.00                0                   5.140          3114.00         0.00            0.00            0.00            0.00            -38.08              未偿还          本金未归还          预约券源        
