标题：资金股票
营业部名称：华泰证券(212)
股东：鸣石量化十三号
资金余额：52382964.53 	 可取金额：34503410.46
冻结金额：0.00 	 股票市值：565017612.91
可用余额：34503410.46 	 总 资 产：599537172.37

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
000917	电广传媒	0	0	0	6.825	6.825	7.560	10.77	40051.090	0.000	深圳Ａ	0899163779	0	
000928	中钢国际	169100	169100	0	4.357	4.362	4.420	1.33	9778.816	747422.000	深圳Ａ	0899163779	0	
000973	佛塑科技	90200	90200	0	4.951	4.957	5.330	7.53	33623.304	480766.000	深圳Ａ	0899163779	0	
002002	鸿达兴业	649300	649300	0	4.327	4.332	4.360	0.65	18114.691	2830948.000	深圳Ａ	0899163779	0	
002003	伟星股份	67432	67432	0	5.756	5.763	5.880	2.04	7897.663	396500.160	深圳Ａ	0899163779	0	
002015	协鑫能科	51700	51700	0	5.068	5.074	6.090	20.02	52469.022	314853.000	深圳Ａ	0899163779	0	
002027	分众传媒	932900	932900	0	6.087	6.094	6.040	-0.89	-50438.918	5634716.000	深圳Ａ	0899163779	0	
002029	七 匹 狼	47338	47338	0	5.531	5.537	5.620	1.49	3901.816	266039.560	深圳Ａ	0899163779	0	
002057	中钢天源	304610	0	0	7.909	7.918	7.930	0.15	3570.608	2415557.300	深圳Ａ	0899163779	304610	
002075	沙钢股份	588200	0	0	12.646	12.661	12.720	0.47	34772.972	7481904.000	深圳Ａ	0899163779	588200	
002079	苏州固锝	254800	254800	0	11.849	11.863	14.670	23.66	714417.438	3737916.000	深圳Ａ	0899163779	0	
002082	万邦德	41100	41100	0	10.234	10.246	11.140	8.72	36700.911	457854.000	深圳Ａ	0899163779	0	
002097	山河智能	381262	381262	0	6.673	6.681	6.920	3.58	91084.864	2638333.040	深圳Ａ	0899163779	0	
002099	海翔药业	279563	279563	0	8.176	8.186	8.400	2.62	59874.567	2348329.200	深圳Ａ	0899163779	0	
002103	广博股份	431500	431500	0	6.430	6.438	7.500	16.50	457918.588	3236250.000	深圳Ａ	0899163779	0	
