标题：资金股票
营业部名称：DbzqJY-tc-107
股东：鸣石宽墨三号
资金余额：2586610.77 	 可取金额：2586610.77
冻结金额：0.00 	 股票市值：28177826.78
可用余额：3003347.01 	 总 资 产：30764437.55

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	参考盈亏	参考成本价	参考盈亏比	市价	市值	成本金额	市场代码	交易市场	股东帐户	实际数量	单位数量	资讯	历史成交	退市日期	回报买入数量	回报卖出数量	
603306	华懋科技	3000.00	0.00	0	3514.680	18.877	6.214	20.050	60150.000	56631.000	2	上海Ａ股	B882855418	3000	1			0	0.00	0.00	
603308	应流股份	4200.00	0.00	0	-12681.730	27.773	-10.885	24.750	103950.000	116646.600	2	上海Ａ股	B882855418	4200	1			0	0.00	0.00	
603444	吉比特	700.00	0.00	0	11586.400	617.527	2.684	634.100	443870.000	432268.900	2	上海Ａ股	B882855418	700	1			0	0.00	0.00	
603505	金石资源	18200.00	0.00	0	-27040.310	25.138	-5.919	23.650	430430.000	457511.600	2	上海Ａ股	B882855418	18200	1			0	0.00	0.00	
603520	司太立	6900.00	0.00	0	97786.070	72.652	19.529	86.840	599196.000	501298.800	2	上海Ａ股	B882855418	6900	1			0	0.00	0.00	
603583	捷昌驱动	1900.00	0.00	0	4066.590	66.057	3.244	68.200	129580.000	125508.300	2	上海Ａ股	B882855418	1900	1			0	0.00	0.00	
603650	彤程新材	100.00	0.00	0	-26.250	36.723	-0.716	36.460	3646.000	3672.300	2	上海Ａ股	B882855418	100	1			0	0.00	0.00	
603678	火炬电子	5600.00	0.00	0	-625.970	39.792	-0.281	39.680	222208.000	222835.200	2	上海Ａ股	B882855418	5600	1			0	0.00	0.00	
603718	海利生物	16300.00	0.00	0	-24465.100	33.883	-4.436	32.380	527794.000	552292.900	2	上海Ａ股	B882855418	16300	1			0	0.00	0.00	
603801	志邦家居	600.00	0.00	0	-1455.820	38.849	-6.252	36.420	21852.000	23309.400	2	上海Ａ股	B882855418	600	1			0	0.00	0.00	
603809	豪能股份	4900.00	0.00	0	72.100	27.885	0.054	27.900	136710.000	136636.500	2	上海Ａ股	B882855418	4900	1			0	0.00	0.00	
603816	顾家家居	5800.00	0.00	0	-17021.730	65.879	-4.461	62.940	365052.000	382098.200	2	上海Ａ股	B882855418	5800	1			0	0.00	0.00	

------------------------------
保存时间：2020-08-25  16:07:00 
