标题：资金股票
营业部名称：华泰证券(243)
股东：鸣石量化20号
资金余额：1481829.72 	 可取金额：1481829.72
冻结金额：0.00 	 股票市值：12450866.55
可用余额：1481829.72 	 总 资 产：13937637.54

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
603517	绝味食品	100	100	0	61.570	61.683	70.900	14.96	920.768	7090.000	上海Ａ	B882396244	0	
603520	司太立	100	100	0	85.744	85.882	81.520	-5.08	-435.715	8152.000	上海Ａ	B882396244	0	
603528	多伦科技	800	800	0	10.622	10.639	10.290	-3.28	-278.997	8232.000	上海Ａ	B882396244	0	
603533	掌阅科技	200	200	0	37.897	37.961	38.280	0.84	63.791	7656.000	上海Ａ	B882396244	0	
603538	美诺华	200	200	0	54.457	54.538	52.910	-2.99	-325.194	10582.000	上海Ａ	B882396244	0	
603566	普莱柯	900	900	0	28.386	28.421	28.610	0.67	170.336	25749.000	上海Ａ	B882396244	0	
603583	捷昌驱动	200	200	0	68.057	68.152	66.600	-2.28	-309.986	13320.000	上海Ａ	B882396244	0	
603588	高能环境	100	100	0	12.042	12.104	12.050	-0.45	-5.429	1205.000	上海Ａ	B882396244	0	
603605	珀莱雅	300	300	0	167.143	167.340	172.510	3.09	1549.031	51753.000	上海Ａ	B882396244	0	
603609	禾丰牧业	200	200	0	14.635	14.675	14.740	0.44	12.993	2948.000	上海Ａ	B882396244	0	
603626	科森科技	400	400	0	11.541	11.565	11.700	1.17	53.826	4680.000	上海Ａ	B882396244	0	
603638	艾迪精密	200	200	0	41.113	41.180	43.000	4.42	363.628	8600.000	上海Ａ	B882396244	0	
603650	彤程新材	900	900	0	19.409	19.434	22.120	13.82	2414.594	19908.000	上海Ａ	B882396244	0	
603678	火炬电子	800	800	0	25.909	25.942	26.540	2.31	478.143	21232.000	上海Ａ	B882396244	0	
603686	龙马环卫	100	100	0	21.923	21.995	23.100	5.03	110.344	2310.000	上海Ａ	B882396244	0	
603712	七一二	100	100	0	36.017	36.104	35.660	-1.23	-44.337	3566.000	上海Ａ	B882396244	0	
603739	蔚蓝生物	100	100	0	26.071	26.148	26.100	-0.18	-4.762	2610.000	上海Ａ	B882396244	0	
603799	华友钴业	1000	1000	0	36.673	36.716	39.120	6.55	2400.838	39120.000	上海Ａ	B882396244	0	
603806	福斯特	600	600	0	33.025	33.067	44.550	34.73	6882.735	26730.000	上海Ａ	B882396244	0	
603811	诚意药业	200	200	0	24.244	24.294	28.450	17.13	830.396	5690.000	上海Ａ	B882396244	0	
603826	坤彩科技	500	500	0	32.825	32.869	33.810	2.87	470.257	16905.000	上海Ａ	B882396244	0	
603833	欧派家居	100	100	0	114.621	114.788	117.000	1.93	220.966	11700.000	上海Ａ	B882396244	0	
603856	东宏股份	300	300	0	15.308	15.340	14.770	-3.72	-170.920	4431.000	上海Ａ	B882396244	0	
603858	步长制药	400	400	0	27.117	27.157	27.460	1.12	120.996	10984.000	上海Ａ	B882396244	0	
603868	飞科电器	700	700	0	45.128	45.181	50.040	10.75	3397.067	35028.000	上海Ａ	B882396244	0	
603881	数据港	200	200	0	89.566	89.682	89.810	0.14	25.479	17962.000	上海Ａ	B882396244	0	
603882	金域医学	100	100	0	82.015	82.149	81.700	-0.55	-44.833	8170.000	上海Ａ	B882396244	0	
603890	春秋电子	200	200	0	17.203	17.246	17.100	-0.84	-29.088	3420.000	上海Ａ	B882396244	0	
603898	好莱客	400	400	0	14.733	14.761	14.510	-1.70	-100.120	5804.000	上海Ａ	B882396244	0	
603916	苏博特	100	100	0	29.125	29.205	30.730	5.23	152.366	3073.000	上海Ａ	B882396244	0	
603919	金徽酒	400	400	0	14.767	14.795	15.880	7.34	433.721	6352.000	上海Ａ	B882396244	0	
603986	兆易创新	400	400	0	122.205	122.349	226.300	84.96	41531.186	90520.000	上海Ａ	B882396244	0	
603987	康德莱	2400	2400	0	14.136	14.153	15.250	7.75	2630.412	36600.000	上海Ａ	B882396244	0	
000011	深物业A	800	800	0	10.014	10.030	15.810	57.66	4618.899	12648.000	深圳Ａ	0899185080	0	
000012	南 玻Ａ	100	100	0	4.791	4.846	4.750	-2.00	-9.585	475.000	深圳Ａ	0899185080	0	
000030	富奥股份	400	400	0	6.602	6.621	6.410	-3.20	-84.415	2564.000	深圳Ａ	0899185080	0	
000049	德赛电池	1900	1900	0	31.325	31.362	50.090	59.72	35541.198	95171.000	深圳Ａ	0899185080	0	
000088	盐 田 港	100	100	0	4.674	4.729	5.710	20.97	98.018	571.000	深圳Ａ	0899185080	0	
000090	天健集团	700	700	0	6.724	6.738	6.930	2.85	134.252	4851.000	深圳Ａ	0899185080	0	
000100	TCL科技	13400	13400	0	5.939	5.946	6.150	3.43	2730.156	82410.000	深圳Ａ	0899185080	0	
000338	潍柴动力	100	100	0	13.281	13.345	13.700	2.67	35.503	1370.000	深圳Ａ	0899185080	0	
000403	双林生物	100	100	0	68.232	68.352	69.880	2.24	152.672	6988.000	深圳Ａ	0899185080	0	
000423	东阿阿胶	100	100	0	36.167	36.254	36.170	-0.23	-8.389	3617.000	深圳Ａ	0899185080	0	
000426	兴业矿业	1600	1600	0	6.787	6.797	7.170	5.49	596.099	11472.000	深圳Ａ	0899185080	0	
000503	国新健康	100	100	0	10.874	10.935	11.750	7.49	81.401	1175.000	深圳Ａ	0899185080	0	
000513	丽珠集团	100	100	0	46.188	46.285	46.900	1.33	61.416	4690.000	深圳Ａ	0899185080	0	
000537	广宇发展	100	100	0	7.432	7.490	7.510	0.27	2.034	751.000	深圳Ａ	0899185080	0	
000546	金圆股份	200	200	0	10.709	10.745	10.480	-2.47	-52.938	2096.000	深圳Ａ	0899185080	0	
000561	烽火电子	100	100	0	7.162	7.219	7.130	-1.25	-8.927	713.000	深圳Ａ	0899185080	0	
000568	泸州老窖	400	400	0	86.242	86.344	91.890	6.42	2215.828	36756.000	深圳Ａ	0899185080	0	
000581	威孚高科	800	800	0	22.185	22.214	21.920	-1.32	-234.887	17536.000	深圳Ａ	0899185080	0	
000596	古井贡酒	200	200	0	140.925	141.094	147.120	4.27	1203.988	29424.000	深圳Ａ	0899185080	0	
000636	风华高科	600	600	0	28.575	28.613	29.180	1.98	340.142	17508.000	深圳Ａ	0899185080	0	
000651	格力电器	200	200	0	60.701	60.788	58.840	-3.21	-389.203	11768.000	深圳Ａ	0899185080	0	
000655	金岭矿业	700	700	0	5.796	5.809	5.970	2.77	112.537	4179.000	深圳Ａ	0899185080	0	
000681	视觉中国	100	100	0	21.014	21.086	20.510	-2.74	-57.492	2051.000	深圳Ａ	0899185080	0	
000708	中信特钢	100	100	0	17.533	17.601	17.350	-1.43	-25.070	1735.000	深圳Ａ	0899185080	0	
000725	京东方Ａ	20400	20400	0	4.155	4.160	4.590	10.34	8763.510	93636.000	深圳Ａ	0899185080	0	
000733	振华科技	1600	1600	0	21.549	21.574	21.610	0.17	56.800	34576.000	深圳Ａ	0899185080	0	
000736	中交地产	130	130	0	6.757	6.802	6.820	0.26	2.286	886.600	深圳Ａ	0899185080	0	
000739	普洛药业	400	400	0	21.737	21.772	22.110	1.55	135.179	8844.000	深圳Ａ	0899185080	0	
000762	西藏矿业	200	200	0	7.282	7.314	7.740	5.84	85.021	1548.000	深圳Ａ	0899185080	0	
000797	中国武夷	100	100	0	4.071	4.125	4.060	-1.60	-6.514	406.000	深圳Ａ	0899185080	0	
000799	酒鬼酒	500	500	0	49.433	49.493	58.200	17.59	4348.818	29100.000	深圳Ａ	0899185080	0	
000800	一汽解放	600	600	0	11.069	11.089	11.350	2.36	156.654	6810.000	深圳Ａ	0899185080	0	
000801	四川九洲	100	100	0	5.961	6.017	5.810	-3.47	-20.693	581.000	深圳Ａ	0899185080	0	
000813	德展健康	600	600	0	6.538	6.553	6.720	2.55	100.087	4032.000	深圳Ａ	0899185080	0	
000829	天音控股	400	400	0	6.461	6.480	6.560	1.24	31.924	2624.000	深圳Ａ	0899185080	0	
000848	承德露露	100	100	0	6.871	6.928	6.930	0.03	0.193	693.000	深圳Ａ	0899185080	0	
000851	高鸿股份	500	500	0	8.091	8.109	7.950	-1.97	-79.554	3975.000	深圳Ａ	0899185080	0	
000858	五 粮 液	100	100	0	159.389	159.602	165.570	3.74	596.212	16557.000	深圳Ａ	0899185080	0	
000860	顺鑫农业	100	100	0	57.040	57.148	55.130	-3.54	-201.623	5513.000	深圳Ａ	0899185080	0	
000877	天山股份	1000	1000	0	15.643	15.664	15.750	0.55	85.935	15750.000	深圳Ａ	0899185080	0	
000878	云南铜业	300	300	0	10.303	10.330	10.500	1.65	50.887	3150.000	深圳Ａ	0899185080	0	
000887	中鼎股份	100	100	0	7.942	8.000	8.100	1.26	9.974	810.000	深圳Ａ	0899185080	0	
000902	新洋丰	100	100	0	8.696	8.755	8.930	2.01	17.489	893.000	深圳Ａ	0899185080	0	
000910	大亚圣象	300	300	0	11.423	11.451	16.160	41.18	1411.155	4848.000	深圳Ａ	0899185080	0	
000921	海信家电	1200	1200	0	11.985	12.001	12.030	0.24	34.275	14436.000	深圳Ａ	0899185080	0	
000931	中 关 村	200	200	0	9.566	9.601	10.830	12.84	245.591	2166.000	深圳Ａ	0899185080	0	
