时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:31:03.627    1100309762      600600          700 担保品买入  300             68.8200         已撤            
09:31:03.632    1120312861      600438          700 担保品买入  3100            15.6900         已成            
09:31:03.848    1000311164      002810          701 担保品卖出  400             30.7100         已撤            
09:31:03.848    1140308563      002791          700 担保品买入  800             88.1900         已撤            
09:31:03.848    1160312461      002928          700 担保品买入  2500            15.1600         已撤            
09:31:03.848    1180309862      002810          701 担保品卖出  400             30.7100         已撤            
09:31:03.916    1020309961      000049          700 担保品买入  300             53.6700         已成            
09:31:04.029    1040311164      000049          700 担保品买入  300             53.6700         已成            
09:31:04.112    1060310161      603429          701 担保品卖出  800             30.9100         已撤            
09:31:04.112    1080313062      603429          701 担保品卖出  800             30.9100         已撤            
09:31:04.596    1100309763      002635          700 担保品买入  7400            23.8900         部分成交        
09:31:04.596    1120312862      300155          701 担保品卖出  800             6.1000          已成            
09:31:04.666    1140308564      002810          701 担保品卖出  300             30.7200         已撤            
09:31:04.670    1160312462      002810          701 担保品卖出  300             30.7200         已撤            
09:31:04.710    1000311165      600882          700 担保品买入  400             37.4500         已撤            
09:31:04.710    1020309962      600882          700 担保品买入  400             37.4500         已撤            
09:31:04.710    1180309863      603707          700 担保品买入  1200            58.5500         已成            
09:31:04.849    1000311166      603229          701 担保品卖出  900             46.7700         已撤            
09:31:04.849    1020309963      603229          701 担保品卖出  900             46.7700         已撤            
09:31:04.849    1040311165      600438          700 担保品买入  900             15.6900         已成            
09:31:04.849    1060310162      600438          700 担保品买入  900             15.6900         已成            
09:31:04.849    1080313063      600383          701 担保品卖出  600             13.0400         已成            
09:31:04.849    1100309764      600600          700 担保品买入  800             68.7000         已撤            
09:31:04.849    1120312863      600600          700 担保品买入  800             68.7000         已撤            
09:31:04.849    1140308565      600600          700 担保品买入  800             68.7000         已撤            
09:31:04.849    1160312463      603429          701 担保品卖出  1200            30.8500         已撤            
09:31:04.849    1180309864      603429          701 担保品卖出  1200            30.8500         已撤            
09:31:05.100    1040311166      000049          700 担保品买入  400             53.6000         已撤            
09:31:05.100    1060310163      000049          700 担保品买入  400             53.6000         已撤            
09:31:05.112    1100309765      300486          701 担保品卖出  600             19.7800         已撤            
09:31:05.112    1140308566      002810          701 担保品卖出  400             30.6700         已撤            
09:31:05.112    1160312464      002555          701 担保品卖出  300             41.9900         已成            
09:31:05.116    1080313064      002635          700 担保品买入  400             23.9000         已成            
09:31:05.117    1120312864      300486          701 担保品卖出  600             19.7800         已撤            
09:31:05.305    1180309865      600882          700 担保品买入  1300            37.5700         已撤            
09:31:05.739    1000311167      600475          700 担保品买入  100             12.2200         已成            
09:31:05.739    1040311167      002555          701 担保品卖出  300             41.9900         已成            
09:31:05.739    1060310164      002947          700 担保品买入  100             58.4500         已撤            
09:31:05.744    1100309766      002555          701 担保品卖出  600             41.8400         已成            
09:31:05.745    1020309964      002581          700 担保品买入  1000            27.4100         已撤            
09:31:05.750    1080313065      002555          701 担保品卖出  600             41.8400         已成            
