冻结金额,可用,参考市值,资产
,5478329.0,,88106921.81
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300412,迦南科技,500,500,10.5169,-158.45,5100.0,10.2
300413,芒果超媒,0,200,64.1146,1377.08,14200.0,71.0
300414,中光防雷,0,400,14.1426,2.97,5660.0,14.15
300415,伊之密,0,1000,12.6985,31.46,12730.0,12.73
300417,南华仪器,0,100,18.1547,-16.47,1799.0,17.99
300418,昆仑万维,6700,6700,28.3165,-3125.56,186595.0,27.85
300419,浩丰科技,0,2200,7.1558,-166.77,15576.0,7.08
300420,五洋停车,3000,3000,8.6108,-3542.35,22290.0,7.43
300421,力星股份,0,600,7.8036,-104.17,4578.0,7.63
300423,鲁亿通,1000,1000,12.9263,2763.68,15690.0,15.69
300425,中建环能,6600,6600,5.7513,-1394.87,36564.0,5.54
300428,四通新材,1100,1100,18.0836,-245.98,19646.0,17.86
300434,金石亚药,400,400,9.3019,-136.74,3584.0,8.96
300437,清水源,400,400,12.6625,-293.01,4772.0,11.93
300440,运达科技,0,200,9.9302,-20.04,1966.0,9.83
300442,普丽盛,0,200,26.1593,-73.85,5158.0,25.79
300446,乐凯新材,0,3200,11.5497,2817.01,39776.0,12.43
300447,全信股份,0,200,13.7213,-42.26,2702.0,13.51
300449,汉邦高科,0,2100,14.9299,252.2,31605.0,15.05
300452,山河药辅,0,600,28.0202,1007.86,17820.0,29.7
300453,三鑫医疗,900,900,19.5339,-273.52,17307.0,19.23
300454,深信服,100,100,232.8902,-1291.02,21998.0,219.98
300461,田中精机,0,1400,24.7667,-79.41,34594.0,24.71
300464,星徽精密,0,3200,28.1185,-3579.34,86400.0,27.0
300466,赛摩智能,0,1200,6.6901,-108.17,7920.0,6.6
300470,中密控股,200,200,45.2491,-601.81,8448.0,42.24
300471,厚普股份,0,1100,8.3875,2653.72,11880.0,10.8
300472,新元科技,0,300,11.2714,-12.43,3369.0,11.23
300474,景嘉微,300,300,73.9081,-221.43,21951.0,73.17
300475,聚隆科技,0,600,10.1987,-101.19,6018.0,10.03
300477,合纵科技,0,1400,7.0713,-29.81,9870.0,7.05
300478,杭州高新,300,300,12.1791,-68.72,3585.0,11.95
300480,光力科技,0,200,19.5029,-104.58,3796.0,18.98
300481,濮阳惠成,500,500,24.905,-952.49,11500.0,23.0
300482,万孚生物,0,200,99.3442,-108.83,19760.0,98.8
300484,蓝海华腾,0,1700,13.5018,-360.09,22593.0,13.29
300486,东杰智能,100,100,20.7742,-38.42,2039.0,20.39
300487,蓝晓科技,500,500,47.6095,140.24,23945.0,47.89
300490,华自科技,300,300,9.7786,-68.58,2865.0,9.55
300491,通合科技,300,300,14.2462,-175.85,4098.0,13.66
300492,华图山鼎,400,400,50.5076,1516.98,21720.0,54.3
300496,中科创达,200,200,94.4239,-484.78,18400.0,92.0
300497,富祥药业,0,1100,20.7497,-230.72,22594.0,20.54
300498,温氏股份,1500,8300,24.8979,-1808.59,204844.0,24.68
300499,高澜股份,200,200,11.6724,-14.47,2320.0,11.6
300500,启迪设计,0,100,16.5603,7.97,1664.0,16.64
300501,海顺新材,0,1900,25.3267,-2254.75,45866.0,24.14
300505,川金诺,100,100,19.2338,11.62,1935.0,19.35
300506,名家汇,1900,1900,5.856,539.67,11666.0,6.14
300507,苏奥传感,1600,1600,12.6707,-465.05,19808.0,12.38
300509,新美星,0,1100,9.7805,571.49,11330.0,10.3
300510,金冠股份,0,2100,5.6156,-137.74,11655.0,5.55
300512,中亚股份,2000,2000,19.6913,-1162.52,38220.0,19.11
300515,三德科技,0,400,11.9461,517.58,5296.0,13.24
300518,盛讯达,300,300,30.6461,-253.84,8940.0,29.8
300522,世名科技,0,1100,30.7998,3850.21,37730.0,34.3
300523,辰安科技,100,100,50.2526,-157.26,4868.0,48.68
300525,博思软件,300,300,42.8562,-187.85,12669.0,42.23
300526,中潜股份,0,200,85.5689,682.23,17796.0,88.98
300527,中船应急,1200,1200,11.1222,-62.67,13284.0,11.07
300528,幸福蓝海,500,500,8.0077,-138.83,3865.0,7.73
300529,健帆生物,100,300,75.082,338.41,22863.0,76.21
300531,优博讯,0,2500,28.563,-7582.58,63825.0,25.53
300532,今天国际,0,200,11.3942,15.16,2294.0,11.47
300534,陇神戎发,300,600,7.1264,-93.83,4182.0,6.97
300535,达威股份,200,200,13.932,89.6,2876.0,14.38
300536,农尚环境,5300,5300,17.984,-11575.18,83740.0,15.8
300539,横河模具,500,500,8.2051,-92.53,4010.0,8.02
300542,新晨科技,0,600,13.5792,-77.53,8070.0,13.45
300543,朗科智能,100,100,14.7129,-11.29,1460.0,14.6
300546,雄帝科技,100,100,24.4749,26.51,2474.0,24.74
300547,川环科技,400,400,10.4021,-44.83,4116.0,10.29
300551,古鳌科技,0,700,31.8568,1941.26,24241.0,34.63
300558,贝达药业,100,100,131.8864,-104.64,13084.0,130.84
300559,佳发教育,200,200,21.4343,19.14,4306.0,21.53
300566,激智科技,0,600,36.3829,1276.25,23106.0,38.51
300567,精测电子,200,200,60.5721,-158.42,11956.0,59.78
300569,天能重工,0,6300,12.1394,-878.41,75600.0,12.0
300572,安车检测,200,200,70.7653,1290.94,15444.0,77.22
300576,容大感光,0,200,58.9725,-230.5,11564.0,57.82
300577,开润股份,100,100,29.1858,62.42,2981.0,29.81
300580,贝斯特,200,200,22.6366,376.68,4904.0,24.52
300582,英飞特,0,200,15.7611,181.79,3334.0,16.67
300584,海辰药业,200,200,28.3757,74.87,5750.0,28.75
300585,奥联电子,500,500,16.494,-72.02,8175.0,16.35
300587,天铁股份,0,600,14.7065,572.09,9396.0,15.66
300588,熙菱信息,1200,1200,11.3817,526.01,14184.0,11.82
300595,欧普康视,400,400,63.3927,766.93,26124.0,65.31
300597,吉大通信,400,400,12.2425,-100.98,4796.0,11.99
300599,雄塑科技,0,200,15.3362,-33.23,3034.0,15.17
300601,康泰生物,900,900,191.9013,5488.8,178200.0,198.0
300605,恒锋信息,0,200,15.8979,-29.57,3150.0,15.75
300606,金太阳,0,300,24.0476,543.72,7758.0,25.86
300607,拓斯达,0,200,49.7477,224.46,10174.0,50.87
300609,汇纳科技,0,200,38.1098,-53.95,7568.0,37.84
300610,晨化股份,0,1200,19.589,-178.78,23328.0,19.44
300611,美力科技,0,100,10.8132,-10.32,1071.0,10.71
300615,欣天科技,100,100,16.5533,-25.33,1630.0,16.3
300616,尚品宅配,100,100,64.2359,-204.59,6219.0,62.19
300617,安靠智电,0,100,47.4729,14.71,4762.0,47.62
300622,博士眼镜,0,200,13.4267,-33.33,2652.0,13.26
300624,万兴科技,0,700,75.3579,1226.47,53977.0,77.11
300626,华瑞股份,0,300,10.3996,15.11,3135.0,10.45
300630,普利制药,400,700,48.1951,115.42,33852.0,48.36
300631,久吾高科,100,100,20.4741,-40.41,2007.0,20.07
300636,同和药业,0,200,33.4489,418.23,7108.0,35.54
300637,扬帆新材,0,1300,11.1601,-442.08,14066.0,10.82
300638,广和通,3000,3000,74.9479,-15833.72,209010.0,69.67
300639,凯普生物,0,400,54.7689,-1583.57,20324.0,50.81
300640,德艺文创,0,300,9.3702,-45.06,2766.0,9.22
300641,正丹股份,500,500,5.7651,-117.57,2765.0,5.53
300642,透景生命,0,400,61.4736,1010.55,25600.0,64.0
