更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:07:34.680    11:15:16.324    233350857       22374           600834          700 担保品买入  1100            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额6806.200 ，预留金额10.000，实际申请使用 13400.280
15:07:34.681    11:15:27.144    205356136       22392           600834          700 担保品买入  2200            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额6987.180 ，预留金额10.000，实际申请使用 26800.560
15:07:34.681    11:15:27.235    225349997       22393           300677          700 担保品买入  100             0               0               112.6700        0.0000                  废单            可用金额不足，可用金额6987.180 ，预留金额10.000，实际申请使用 11268.920
15:07:34.681    11:15:27.253    237357778       22394           300624          700 担保品买入  500             0               0               67.3000         0.0000                  废单            可用金额不足，可用金额6987.180 ，预留金额10.000，实际申请使用 33655.720
15:07:34.681    11:15:32.525    225350000       22401           600834          700 担保品买入  2300            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额13624.670 ，预留金额10.000，实际申请使用 28018.760
15:07:34.682    11:15:38.218    213355899       22415           002079          700 担保品买入  5800            0               0               12.9000         0.0000                  废单            可用金额不足，可用金额36405.090 ，预留金额10.000，实际申请使用 74832.720
15:07:34.682    11:15:38.331    229357542       22417           300502          700 担保品买入  1100            0               0               57.9300         0.0000                  废单            可用金额不足，可用金额33704.630 ，预留金额10.000，实际申请使用 63733.830
15:07:34.682    11:15:38.332    233350878       22418           002022          700 担保品买入  2000            0               0               17.4900         0.0000                  废单            可用金额不足，可用金额33704.630 ，预留金额10.000，实际申请使用 34985.950
15:07:34.682    11:15:43.819    221357880       22429           600834          700 担保品买入  1200            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额13903.920 ，预留金额10.000，实际申请使用 14618.480
15:07:34.682    11:15:49.533    233350885       22443           002338          700 担保品买入  800             0               0               28.6000         0.0000                  废单            可用金额不足，可用金额9183.830 ，预留金额10.000，实际申请使用 22883.890
15:07:34.683    11:15:49.625    209350302       22445           300658          700 担保品买入  200             0               0               29.7500         0.0000                  废单            可用金额不足，可用金额3324.830 ，预留金额10.000，实际申请使用 5951.010
15:07:34.683    11:15:54.833    229357554       22450           300206          700 担保品买入  1500            0               0               17.7600         0.0000                  废单            可用金额不足，可用金额21502.400 ，预留金额10.000，实际申请使用 26644.530
15:07:34.683    11:15:54.924    205356159       22452           300299          700 担保品买入  8100            0               0               8.3300          0.0000                  废单            可用金额不足，可用金额2959.250 ，预留金额10.000，实际申请使用 67484.470
15:07:34.683    11:15:54.925    209350307       22453           603825          700 担保品买入  200             0               0               33.4200         0.0000                  废单            可用金额不足，可用金额2959.250 ，预留金额10.000，实际申请使用 6685.130
15:07:34.683    11:15:55.017    221357889       22454           002581          700 担保品买入  300             0               0               27.0300         0.0000                  废单            可用金额不足，可用金额2959.250 ，预留金额10.000，实际申请使用 8110.380
15:07:34.683    11:15:55.133    237357797       22456           002382          700 担保品买入  600             0               0               29.3200         0.0000                  废单            可用金额不足，可用金额820.890 ，预留金额10.000，实际申请使用 17594.990
15:07:34.683    11:16:00.431    237357800       22464           600834          700 担保品买入  4100            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额6486.530 ，预留金额10.000，实际申请使用 49946.490
15:07:34.683    11:16:00.535    217352316       22465           300677          700 担保品买入  600             0               0               112.4700        0.0000                  废单            可用金额不足，可用金额305.480 ，预留金额10.000，实际申请使用 67493.470
15:07:34.683    11:16:11.020    205356168       22476           300502          700 担保品买入  800             0               0               57.9200         0.0000                  废单            可用金额不足，可用金额26219.190 ，预留金额10.000，实际申请使用 46343.880
15:07:34.684    11:16:11.235    237357806       22480           002382          700 担保品买入  400             0               0               29.3400         0.0000                  废单            可用金额不足，可用金额2485.630 ，预留金额10.000，实际申请使用 11737.990
15:07:34.684    11:16:22.119    229357575       22500           300206          700 担保品买入  1800            0               0               17.7900         0.0000                  废单            可用金额不足，可用金额18940.970 ，预留金额10.000，实际申请使用 32027.440
15:07:34.684    11:16:22.120    233350908       22501           002581          700 担保品买入  2400            0               0               27.0000         0.0000                  废单            可用金额不足，可用金额18940.970 ，预留金额10.000，实际申请使用 64811.020
15:07:34.684    11:16:22.319    221357920       22504           002338          700 担保品买入  600             0               0               28.6200         0.0000                  废单            可用金额不足，可用金额7141.420 ，预留金额10.000，实际申请使用 17174.920
15:07:34.684    11:16:27.419    201348862       22508           002022          700 担保品买入  800             0               0               17.4600         0.0000                  废单            可用金额不足，可用金额717.330 ，预留金额10.000，实际申请使用 13970.380
15:07:34.685    11:16:27.517    213355935       22509           600834          700 担保品买入  100             0               0               12.1800         0.0000                  废单            可用金额不足，可用金额717.330 ，预留金额10.000，实际申请使用 1218.200
15:07:34.685    11:16:27.662    225350043       22511           002382          700 担保品买入  600             0               0               29.3300         0.0000                  废单            可用金额不足，可用金额717.330 ，预留金额10.000，实际申请使用 17600.990
15:07:34.685    11:16:27.518    217352327       22510           603466          700 担保品买入  100             0               0               17.9400         0.0000                  废单            可用金额不足，可用金额720.330 ，预留金额10.000，实际申请使用 1794.310
15:07:34.685    11:16:38.016    229357585       22521           002079          700 担保品买入  2200            0               0               12.9300         0.0000                  废单            可用金额不足，可用金额6435.150 ，预留金额10.000，实际申请使用 28450.840
15:07:34.685    11:16:38.017    233350923       22522           300206          700 担保品买入  1000            0               0               17.7400         0.0000                  废单            可用金额不足，可用金额6435.150 ，预留金额10.000，实际申请使用 17743.010
15:07:34.685    11:16:38.117    205356196       22523           002581          700 担保品买入  300             0               0               27.0300         0.0000                  废单            可用金额不足，可用金额6435.150 ，预留金额10.000，实际申请使用 8110.380
15:07:34.685    11:16:38.232    221357933       22525           002022          700 担保品买入  700             0               0               17.4700         0.0000                  废单            可用金额不足，可用金额4293.790 ，预留金额10.000，实际申请使用 12231.070
15:07:34.685    11:16:38.232    225350054       22526           002338          700 担保品买入  600             0               0               28.6000         0.0000                  废单            可用金额不足，可用金额4293.790 ，预留金额10.000，实际申请使用 17162.910
15:07:34.685    11:16:38.318    201348878       22528           002382          700 担保品买入  600             0               0               29.3000         0.0000                  废单            可用金额不足，可用金额4293.790 ，预留金额10.000，实际申请使用 17582.990
15:07:34.685    11:16:38.317    237357829       22527           600834          700 担保品买入  800             0               0               12.1800         0.0000                  废单            可用金额不足，可用金额4293.790 ，预留金额10.000，实际申请使用 9745.650
15:07:34.685    11:16:43.618    233350925       22534           002079          700 担保品买入  1000            0               0               12.9000         0.0000                  废单            可用金额不足，可用金额1953.980 ，预留金额10.000，实际申请使用 12902.200
15:07:34.685    11:16:43.619    237357836       22535           300502          700 担保品买入  100             0               0               58.0400         0.0000                  废单            可用金额不足，可用金额1953.980 ，预留金额10.000，实际申请使用 5804.990
15:07:34.685    11:16:48.832    201348884       22539           600834          700 担保品买入  6400            0               0               12.1400         0.0000                  废单            可用金额不足，可用金额16731.010 ，预留金额10.000，实际申请使用 77709.200
15:07:34.688    11:17:31.861    225350094       22607           600641          700 担保品买入  1500            0               0               21.3200         0.0000                  废单            可用金额不足，可用金额26459.800 ，预留金额10.000，实际申请使用 31985.440
15:07:34.688    11:17:31.931    237357882       22609           002022          700 担保品买入  2100            0               0               17.4200         0.0000                  废单            可用金额不足，可用金额14073.690 ，预留金额10.000，实际申请使用 36588.220
15:07:34.688    11:17:32.017    213355995       22611           600834          700 担保品买入  2000            0               0               12.1800         0.0000                  废单            可用金额不足，可用金额11085.180 ，预留金额10.000，实际申请使用 24364.140
15:07:34.688    11:17:32.120    225350095       22612           300624          700 担保品买入  600             0               0               67.3100         0.0000                  废单            可用金额不足，可用金额11088.180 ，预留金额10.000，实际申请使用 40392.870
15:07:34.688    11:17:32.121    229357631       22613           600233          700 担保品买入  1400            0               0               16.3700         0.0000                  废单            可用金额不足，可用金额11088.180 ，预留金额10.000，实际申请使用 22921.900
15:07:34.688    11:17:37.433    205356257       22619           300206          700 担保品买入  1800            0               0               17.7600         0.0000                  废单            可用金额不足，可用金额3755.890 ，预留金额10.000，实际申请使用 31973.440
15:07:34.688    11:17:37.516    221357985       22621           300502          700 担保品买入  600             0               0               58.0500         0.0000                  废单            可用金额不足，可用金额3765.890 ，预留金额10.000，实际申请使用 34835.920
15:07:34.688    11:17:37.630    237357888       22623           600834          700 担保品买入  100             0               0               12.1800         0.0000                  废单            可用金额不足，可用金额281.300 ，预留金额10.000，实际申请使用 1218.200
15:07:34.688    11:17:37.630    201348919       22624           603713          700 担保品买入  100             0               0               93.9400         0.0000                  废单            可用金额不足，可用金额281.300 ，预留金额10.000，实际申请使用 9395.600
15:07:34.688    11:17:42.816    237357896       22629           300677          700 担保品买入  200             0               0               112.2500        0.0000                  废单            可用金额不足，可用金额14227.020 ，预留金额10.000，实际申请使用 22453.820
15:07:34.688    11:17:43.033    217352394       22631           300233          700 担保品买入  1300            0               0               30.9200         0.0000                  废单            可用金额不足，可用金额6703.130 ，预留金额10.000，实际申请使用 40202.830
15:07:34.688    11:17:43.143    233350970       22633           002163          700 担保品买入  700             0               0               9.9500          0.0000                  废单            可用金额不足，可用金额6703.130 ，预留金额10.000，实际申请使用 6966.180
15:07:34.688    11:17:43.238    229357645       22635           600834          700 担保品买入  1700            0               0               12.1500         0.0000                  废单            可用金额不足，可用金额2562.770 ，预留金额10.000，实际申请使用 20658.510
15:07:34.688    11:17:43.238    233350971       22636           002382          700 担保品买入  500             0               0               29.2600         0.0000                  废单            可用金额不足，可用金额2562.770 ，预留金额10.000，实际申请使用 14632.480
15:07:34.689    11:17:48.317    237357899       22638           300485          700 担保品买入  2300            0               0               22.8000         0.0000                  废单            可用金额不足，可用金额5839.920 ，预留金额10.000，实际申请使用 52448.920
15:07:34.689    11:17:48.317    209350394       22640           601231          700 担保品买入  3000            0               0               21.5700         0.0000                  废单            可用金额不足，可用金额4199.640 ，预留金额10.000，实际申请使用 64721.000
15:07:34.689    11:17:48.433    221357996       22641           300233          700 担保品买入  900             0               0               30.9200         0.0000                  废单            可用金额不足，可用金额4199.640 ，预留金额10.000，实际申请使用 27832.730
15:07:34.689    11:17:48.515    205356265       22643           002338          700 担保品买入  300             0               0               28.6000         0.0000                  废单            可用金额不足，可用金额1759.220 ，预留金额10.000，实际申请使用 8581.460
15:07:34.689    11:17:53.532    221358003       22645           000009          700 担保品买入  7400            0               0               7.7400          0.0000                  废单            可用金额不足，可用金额1763.220 ，预留金额10.000，实际申请使用 57285.740
15:07:34.689    11:17:53.615    233350983       22646           300203          700 担保品买入  200             0               0               19.1600         0.0000                  废单            可用金额不足，可用金额1763.220 ，预留金额10.000，实际申请使用 3832.650
15:07:34.689    11:17:53.616    237357905       22647           600233          700 担保品买入  400             0               0               16.3700         0.0000                  废单            可用金额不足，可用金额1763.220 ，预留金额10.000，实际申请使用 6549.110
15:07:34.689    11:17:53.715    209350400       22648           002079          700 担保品买入  700             0               0               12.9100         0.0000                  废单            可用金额不足，可用金额1763.220 ，预留金额10.000，实际申请使用 9038.540
15:07:34.689    11:17:53.716    213356013       22649           603825          700 担保品买入  100             0               0               33.5400         0.0000                  废单            可用金额不足，可用金额1763.220 ，预留金额10.000，实际申请使用 3354.570
15:07:34.689    11:17:58.935    213356018       22652           000009          700 担保品买入  13300           0               0               7.7400          0.0000                  废单            可用金额不足，可用金额22678.700 ，预留金额10.000，实际申请使用 102959.500
15:07:34.689    11:17:58.936    217352416       22653           300677          700 担保品买入  800             0               0               112.1000        0.0000                  废单            可用金额不足，可用金额22678.700 ，预留金额10.000，实际申请使用 89695.240
15:07:34.689    11:17:59.016    233350989       22655           600233          700 担保品买入  400             0               0               16.4000         0.0000                  废单            可用金额不足，可用金额2455.270 ，预留金额10.000，实际申请使用 6561.110
15:07:34.689    11:17:59.115    209350407       22657           603825          700 担保品买入  100             0               0               33.6000         0.0000                  废单            可用金额不足，可用金额1167.050 ，预留金额10.000，实际申请使用 3360.570
15:07:34.689    11:18:09.241    237357920       22661           300502          700 担保品买入  500             0               0               57.9900         0.0000                  废单            可用金额不足，可用金额6746.870 ，预留金额10.000，实际申请使用 28999.930
15:07:34.689    11:18:09.322    221358018       22663           600834          700 担保品买入  300             0               0               12.1500         0.0000                  废单            可用金额不足，可用金额329.400 ，预留金额10.000，实际申请使用 3645.620
15:07:34.689    11:18:09.417    209350419       22664           002382          700 担保品买入  500             0               0               29.2200         0.0000                  废单            可用金额不足，可用金额329.400 ，预留金额10.000，实际申请使用 14612.480
15:07:34.689    11:18:09.417    213356028       22665           300624          700 担保品买入  600             0               0               67.3400         0.0000                  废单            可用金额不足，可用金额329.400 ，预留金额10.000，实际申请使用 40410.870
15:07:34.690    11:18:19.716    201348969       22673           300677          700 担保品买入  200             0               0               111.9500        0.0000                  废单            可用金额不足，可用金额10025.740 ，预留金额10.000，实际申请使用 22393.810
15:07:34.690    11:18:19.814    213356037       22674           300624          700 担保品买入  300             0               0               67.4500         0.0000                  废单            可用金额不足，可用金额5464.970 ，预留金额10.000，实际申请使用 20238.440
15:07:34.690    11:18:19.815    217352439       22675           300206          700 担保品买入  700             0               0               17.7600         0.0000                  废单            可用金额不足，可用金额5464.970 ，预留金额10.000，实际申请使用 12434.110
15:07:34.690    11:18:19.923    233351012       22677           600834          700 担保品买入  500             0               0               12.1500         0.0000                  废单            可用金额不足，可用金额3690.550 ，预留金额10.000，实际申请使用 6076.030
