时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
10:33:53.808    225365407       10200           000988          101 证券卖出    200             23.6500         已成
10:33:53.809    229372755       10201           600521          100 证券买入    4400            32.1800         已成
10:33:53.970    221373041       10202           300750          100 证券买入    300             167.8000        已成
10:33:53.997    237372833       10203           600859          100 证券买入    700             40.3700         已成
10:33:54.091    221373042       10204           000636          100 证券买入    2900            28.6000         已成
10:33:54.194    237372834       10205           002605          100 证券买入    100             34.3800         已成
10:33:59.201    213371091       10206           002075          101 证券卖出    1400            13.3100         已成
10:33:59.390    201364356       10207           002409          101 证券卖出    800             47.9900         已成
10:33:59.495    225365419       10208           600570          101 证券卖出    1400            97.7800         已成
10:33:59.593    233366583       10209           603825          101 证券卖出    600             32.8500         已成
10:33:59.696    201364358       10210           002951          101 证券卖出    200             17.6000         已成
10:33:59.796    233366584       10211           300404          101 证券卖出    900             14.9700         已成
10:33:59.891    209365919       10212           603659          101 证券卖出    100             101.7200        已撤
10:34:00.022    225365422       10213           601699          101 证券卖出    1400            5.9300          已撤
10:34:00.095    237372841       10214           603486          101 证券卖出    300             30.7500         已成
10:34:00.196    225365423       10215           603658          101 证券卖出    100             173.4300        已撤
10:34:00.295    209365920       10216           002460          101 证券卖出    800             55.6500         已成
10:34:00.392    229372764       10217           601231          101 证券卖出    1400            21.4200         已成
10:34:00.494    237372842       10218           002605          100 证券买入    100             34.3700         已成
10:34:00.592    205371137       10219           600859          100 证券买入    500             40.2900         已成
10:34:00.695    213371095       10220           600521          100 证券买入    1700            32.1800         已成
10:34:15.694    209365951       10221           002075          101 证券卖出    5100            13.3900         已成
10:34:15.809    217367975       10222           000636          100 证券买入    1200            28.5600         已成
10:34:25.802    205371171       10223           002025          101 证券卖出    300             33.6000         已撤
10:34:25.898    217367987       10224           000636          100 证券买入    2100            28.5900         已成
10:34:25.995    233366628       10225           002605          100 证券买入    200             34.4000         已成
10:34:30.996    237372894       10226           600570          101 证券卖出    700             97.8000         已成
10:34:31.091    213371150       10227           603658          101 证券卖出    100             172.8000        已撤
10:34:31.194    229372817       10228           002025          101 证券卖出    600             33.5500         已成
10:34:31.291    213371151       10229           002605          100 证券买入    600             34.4200         已成
10:34:31.395    229372818       10230           000636          100 证券买入    1700            28.5900         已成
10:34:36.393    229372831       10231           002025          101 证券卖出    100             33.5500         已成
10:34:36.494    205371205       10232           603823          101 证券卖出    1200            19.6400         已撤
10:34:36.593    237372911       10233           600570          101 证券卖出    100             97.9000         已成
10:34:36.801    205371207       10234           603825          101 证券卖出    800             32.9600         已成
10:34:36.897    221373126       10235           603658          101 证券卖出    100             173.0200        已撤
10:34:36.897    225365494       10236           002460          101 证券卖出    800             55.5600         已成
10:34:36.993    237372913       10237           000636          100 证券买入    1600            28.6200         已成
10:34:41.992    233366666       10238           603823          101 证券卖出    1200            19.6000         已成
10:34:42.091    225365505       10239           600570          101 证券卖出    100             97.8900         已成
10:34:42.191    201364441       10240           000988          101 证券卖出    1300            23.6500         已成
10:34:42.291    217368025       10241           002460          101 证券卖出    800             55.5500         已成
10:34:42.396    233366669       10242           600859          100 证券买入    300             40.4200         已成
10:34:42.492    209366001       10243           000636          100 证券买入    1600            28.5700         已成
10:34:42.592    233366670       10244           002241          100 证券买入    5300            26.4200         已成
10:34:42.800    201364444       10245           002605          100 证券买入    100             34.4200         已成
10:34:42.894    209366002       10246           600521          100 证券买入    100             32.1500         已成
10:34:47.895    233366676       10247           603825          101 证券卖出    700             33.0000         已成
10:34:47.896    237372926       10248           002925          101 证券卖出    400             57.5000         已成
10:34:47.993    233366677       10249           603658          101 证券卖出    100             173.0200        已撤
10:34:48.092    201364452       10250           002460          101 证券卖出    1900            55.5400         已成
10:34:48.190    213371182       10251           002025          101 证券卖出    400             33.5100         已成
10:34:48.294    221373140       10252           603823          101 证券卖出    1000            19.6000         已成
10:34:48.391    201364453       10253           002409          101 证券卖出    300             48.1100         已撤
10:34:48.494    217368034       10254           600570          101 证券卖出    1000            97.8700         已成
10:34:48.595    225365513       10255           600521          100 证券买入    1000            32.1200         已成
10:34:48.800    209366010       10256           000636          100 证券买入    1100            28.6000         已成
10:34:48.891    217368035       10257           002129          100 证券买入    8200            20.9700         已成
10:34:48.892    221373141       10258           002241          100 证券买入    1900            26.4000         已成
10:34:49.010    209366011       10259           002605          100 证券买入    100             34.3900         已撤
10:34:49.090    217368036       10260           600859          100 证券买入    400             40.4800         已撤
10:34:54.103    217368042       10261           300404          101 证券卖出    200             14.9700         已成
10:34:54.190    233366690       10262           603517          101 证券卖出    200             70.0900         已撤
10:34:54.293    201364466       10263           603658          101 证券卖出    100             173.0200        已成
10:34:54.395    209366021       10264           002460          101 证券卖出    3500            55.4900         已成
10:34:54.494    217368043       10265           000988          101 证券卖出    800             23.6400         已成
10:34:54.591    201364467       10266           002025          101 证券卖出    300             33.5100         已成
10:34:55.092    217368044       10267           603823          101 证券卖出    1200            19.6000         已成
10:34:55.093    221373150       10268           002409          101 证券卖出    300             47.9900         已成
10:34:55.093    225365525       10269           600570          101 证券卖出    600             97.8500         已成
10:34:55.102    201364468       10270           600521          100 证券买入    500             32.1100         已成
10:34:55.195    209366023       10271           002241          100 证券买入    3200            26.4000         已成
10:34:55.295    233366691       10272           002605          100 证券买入    500             34.4600         已撤
10:34:55.390    205371230       10273           300750          100 证券买入    200             167.6500        已撤
10:34:55.490    213371191       10274           600859          100 证券买入    300             40.5200         已成
10:34:55.596    221373151       10275           000636          100 证券买入    1000            28.6000         已成
10:34:55.695    205371231       10276           002129          100 证券买入    4900            20.9700         已成
10:35:00.700    229372863       10277           603825          101 证券卖出    700             33.1200         已撤
10:35:00.804    205371237       10278           300404          101 证券卖出    500             14.9600         已成
10:35:00.893    213371201       10279           603517          101 证券卖出    700             70.1600         已撤
10:35:00.992    221373157       10280           603658          101 证券卖出    100             172.7400        已成
